Scenario,activity,parameter,param default,param plus 20,param minus 20,lca default,lca plus 20,lca minus 20,sensitivity ratio
127,"carbon dioxide capture, chemical absorption, with transport and storage, 200 km pipeline sotage 1000m","market for absorption chiller, 100kW",7.44e-10,8.928e-10,5.952000000000001e-10,-1.1767840127127882,-1.1767818987676233,-1.1767861266530657,-8.981863699573505e-06
30,"biogas upgrading to biomethane, chemical scrubbing w/ CCS","market for chemical, organic",2.64e-05,3.168e-05,2.112e-05,-1.1767840127127882,-1.176780956831498,-1.176787068591378,-1.2984030658859869e-05
93,"biogas upgrading to biomethane, water scrubbing w/ CCS",market for tap water,0.17357894736842108,0.20829473684210528,0.13886315789473688,-1.1767840127127882,-1.1767807623658737,-1.1767872630589986,-1.381029367896798e-05
114,"biogas upgrading to biomethane, pressure swing adsorption w/ CCS",market for charcoal,0.000208,0.0002496,0.0001664,-1.1767840127127882,-1.1767804456178337,-1.176787579805993,-1.5156112086565198e-05
116,"biogas upgrading to biomethane, pressure swing adsorption w/ CCS",market for lubricating oil,0.00015,0.00017999999999999998,0.00011999999999999999,-1.1767840127127882,-1.1767785508509694,-1.1767894745732883,-2.3206727404761683e-05
125,"carbon dioxide capture, chemical absorption, with transport and storage, 200 km pipeline sotage 1000m",market for charcoal,8.26e-05,9.912e-05,6.608e-05,-1.1767840127127882,-1.176777817417499,-1.176790208003904,-2.6322983383663687e-05
100,"carbon dioxide transport and storage, 200 km pipeline, storage 1000m","market for gas turbine, 10MW electrical",2.54e-11,3.048e-11,2.032e-11,-1.1767840127127882,-1.1767774756373188,-1.176790549787748,-2.777517005655028e-05
135,"ammonia production, liquid, bio-ammonia from biomethane w/ CCS, syngas w/ CCS, heating w/ CCS","market for solvent, organic",2.92852574352414e-05,3.5142308922289676e-05,2.342820594819312e-05,-1.1767840127127882,-1.1767774299490656,-1.17679059547537,-2.796929207491037e-05
65,"biogas upgrading to biomethane, membrane w/ CCS",market for lubricating oil,0.000114,0.0001368,9.120000000000001e-05,-1.1767840127127882,-1.1767764025185794,-1.1767916229071569,-3.233471141063323e-05
16,"heat production, at industrial furnace >100kW, biomethane w/ CCS, heating w/ CCS","Carbon monoxide, non-fossil",2.21052631578948e-06,2.652631578947376e-06,1.7684210526315842e-06,-1.1767840127127882,-1.1767730472399163,-1.1767949781856601,-4.6590847400533186e-05
128,"carbon dioxide capture, chemical absorption, with transport and storage, 200 km pipeline sotage 1000m","market for gas turbine, 10MW electrical",3.31e-10,3.972e-10,2.648e-10,-1.1767840127127882,-1.1767704273465285,-1.1767975980789687,-5.7722428556684295e-05
102,"carbon dioxide transport and storage, 200 km pipeline, storage 1000m","drilling, deep borehole/m",1.69e-08,2.0279999999999997e-08,1.352e-08,-1.1767840127127882,-1.1767672626326673,-1.1768007627906818,-7.116887562332612e-05
66,"biogas upgrading to biomethane, membrane w/ CCS","market for steel, chromium steel 18/8",0.000101,0.00012119999999999999,8.080000000000001e-05,-1.1767840127127882,-1.1767621714384744,-1.1768058539852546,-9.280068880168188e-05
28,"biogas upgrading to biomethane, chemical scrubbing w/ CCS",market for monoethanolamine,0.000123,0.0001476,9.84e-05,-1.1767840127127882,-1.176761669212618,-1.1768063562119508,-9.493458198394291e-05
29,"biogas upgrading to biomethane, chemical scrubbing w/ CCS",market for charcoal,0.000697,0.0008364000000000001,0.0005576,-1.1767840127127882,-1.1767551258036013,-1.1768128996158278,-0.00012273665261076252
124,"carbon dioxide capture, chemical absorption, with transport and storage, 200 km pipeline sotage 1000m","market for sodium hydroxide, without water, in 50% solution state",0.000304,0.00036480000000000003,0.00024320000000000003,-1.1767840127127882,-1.1767434629026055,-1.1768245625207692,-0.00017229078847009582
